,x,y,strategy,t_factor
550,559,1264,divDistBased,t1
551,559,1242,divDistBased,t1
552,559,1400,divDistBased,t1
553,559,1424,divDistBased,t1
554,559,465,divDistBased,t1
555,559,752,divDistBased,t1
556,559,868,divDistBased,t1
557,559,734,divDistBased,t1
558,559,642,divDistBased,t1
559,559,1400,divDistBased,t1
560,559,1400,divDistBased,t1
561,559,1410,divDistBased,t1
562,559,1424,divDistBased,t1
563,559,718,divDistBased,t1
564,559,456,divDistBased,t1
565,559,390,divDistBased,t1
566,559,752,divDistBased,t1
567,559,1326,divDistBased,t1
568,559,1264,divDistBased,t1
569,559,1400,divDistBased,t1
570,559,1410,divDistBased,t1
571,559,1264,divDistBased,t1
572,559,718,divDistBased,t1
573,559,1264,divDistBased,t1
574,559,651,divDistBased,t1
575,559,1264,divDistBased,t1
576,559,1326,divDistBased,t1
577,559,1400,divDistBased,t1
578,559,752,divDistBased,t1
579,559,1400,divDistBased,t1
580,559,752,divDistBased,t1
581,559,1400,divDistBased,t1
582,559,1188,divDistBased,t1
583,559,980,divDistBased,t1
584,559,1188,divDistBased,t1
585,559,1376,divDistBased,t1
586,559,1400,divDistBased,t1
587,559,1264,divDistBased,t1
588,559,1264,divDistBased,t1
589,559,1006,divDistBased,t1
590,559,1246,divDistBased,t1
591,559,752,divDistBased,t1
592,559,1246,divDistBased,t1
593,559,1264,divDistBased,t1
594,559,1400,divDistBased,t1
595,559,752,divDistBased,t1
596,559,651,divDistBased,t1
597,559,752,divDistBased,t1
598,559,718,divDistBased,t1
599,559,1264,divDistBased,t1
600,652,1264,divDistBased,t1
601,652,567,divDistBased,t1
602,652,1264,divDistBased,t1
603,652,1424,divDistBased,t1
604,652,1280,divDistBased,t1
605,652,1400,divDistBased,t1
606,652,752,divDistBased,t1
607,652,752,divDistBased,t1
608,652,1224,divDistBased,t1
609,652,1410,divDistBased,t1
610,652,748,divDistBased,t1
611,652,1400,divDistBased,t1
612,652,1424,divDistBased,t1
613,652,1324,divDistBased,t1
614,652,1188,divDistBased,t1
615,652,752,divDistBased,t1
616,652,1324,divDistBased,t1
617,652,1264,divDistBased,t1
618,652,814,divDistBased,t1
619,652,1180,divDistBased,t1
620,652,1400,divDistBased,t1
621,652,1016,divDistBased,t1
622,652,1194,divDistBased,t1
623,652,1198,divDistBased,t1
624,652,1416,divDistBased,t1
625,652,752,divDistBased,t1
626,652,1326,divDistBased,t1
627,652,1264,divDistBased,t1
628,652,1400,divDistBased,t1
629,652,1414,divDistBased,t1
630,652,1424,divDistBased,t1
631,652,752,divDistBased,t1
632,652,1376,divDistBased,t1
633,652,1390,divDistBased,t1
634,652,456,divDistBased,t1
635,652,1306,divDistBased,t1
636,652,1410,divDistBased,t1
637,652,1264,divDistBased,t1
638,652,1400,divDistBased,t1
639,652,1404,divDistBased,t1
640,652,718,divDistBased,t1
641,652,651,divDistBased,t1
642,652,1326,divDistBased,t1
643,652,1410,divDistBased,t1
644,652,1400,divDistBased,t1
645,652,1264,divDistBased,t1
646,652,1430,divDistBased,t1
647,652,1314,divDistBased,t1
648,652,718,divDistBased,t1
